date,rate
2021-10-01,0.356654
2021-10-02,0.356508
2021-10-03,0.356536
2021-10-04,0.356944
2021-10-05,0.356617
2021-10-06,0.353681
2021-10-07,0.35378
2021-10-08,0.354056
2021-10-09,0.35403
2021-10-10,0.354139
2021-10-11,0.354612
2021-10-12,0.353463
2021-10-13,0.354666
2021-10-14,0.35514
2021-10-15,0.355455
2021-10-16,0.355449
2021-10-17,0.355353
2021-10-18,0.354359
2021-10-19,0.354622
2021-10-20,0.354447
2021-10-21,0.35309
2021-10-22,0.352256
2021-10-23,0.352536
2021-10-24,0.352588
2021-10-25,0.350827
2021-10-26,0.350673
2021-10-27,0.350926
2021-10-28,0.35314
2021-10-29,0.350186
2021-10-30,0.350634
2021-10-31,0.350593
2021-11-01,0.35045
