date,rate
2021-10-01,0.395277
2021-10-02,0.394862
2021-10-03,0.394807
2021-10-04,0.393057
2021-10-05,0.390421
2021-10-06,0.390441
2021-10-07,0.389106
2021-10-08,0.388582
2021-10-09,0.387115
2021-10-10,0.38699
2021-10-11,0.389853
2021-10-12,0.388267
2021-10-13,0.388328
2021-10-14,0.38607
2021-10-15,0.384995
2021-10-16,0.384576
2021-10-17,0.384328
2021-10-18,0.383791
2021-10-19,0.380982
2021-10-20,0.38071
2021-10-21,0.379121
2021-10-22,0.379227
2021-10-23,0.37915
2021-10-24,0.378859
2021-10-25,0.376752
2021-10-26,0.377217
2021-10-27,0.379305
2021-10-28,0.378225
2021-10-29,0.380524
2021-10-30,0.380515
2021-10-31,0.3806
2021-11-01,0.38122
