date,rate
2021-10-01,0.406077
2021-10-02,0.405643
2021-10-03,0.40565
2021-10-04,0.406699
2021-10-05,0.406874
2021-10-06,0.403791
2021-10-07,0.40372
2021-10-08,0.407528
2021-10-09,0.407974
2021-10-10,0.407915
2021-10-11,0.409262
2021-10-12,0.410619
2021-10-13,0.41371
2021-10-14,0.419816
2021-10-15,0.421701
2021-10-16,0.423709
2021-10-17,0.422806
2021-10-18,0.42438
2021-10-19,0.424997
2021-10-20,0.420642
2021-10-21,0.429345
2021-10-22,0.435488
2021-10-23,0.435766
2021-10-24,0.435767
2021-10-25,0.431196
2021-10-26,0.429991
2021-10-27,0.429516
2021-10-28,0.43248
2021-10-29,0.433126
2021-10-30,0.432923
2021-10-31,0.432936
2021-11-01,0.429916
