date,rate
2021-10-01,1.763341
2021-10-02,1.762831
2021-10-03,1.762835
2021-10-04,1.761642
2021-10-05,1.762398
2021-10-06,1.757034
2021-10-07,1.753791
2021-10-08,1.755403
2021-10-09,1.751751
2021-10-10,1.752175
2021-10-11,1.755823
2021-10-12,1.751681
2021-10-13,1.753906
2021-10-14,1.752103
2021-10-15,1.753567
2021-10-16,1.754403
2021-10-17,1.754291
2021-10-18,1.752982
2021-10-19,1.752986
2021-10-20,1.751691
2021-10-21,1.745104
2021-10-22,1.744309
2021-10-23,1.745599
2021-10-24,1.745364
2021-10-25,1.744448
2021-10-26,1.746989
2021-10-27,1.750738
2021-10-28,1.779065
2021-10-29,1.750644
2021-10-30,1.752278
2021-10-31,1.752277
2021-11-01,1.751089
