date,rate
2021-10-01,0.145005
2021-10-02,0.145066
2021-10-03,0.145096
2021-10-04,0.144529
2021-10-05,0.144718
2021-10-06,0.144014
2021-10-07,0.144179
2021-10-08,0.144202
2021-10-09,0.144223
2021-10-10,0.144331
2021-10-11,0.144156
2021-10-12,0.144287
2021-10-13,0.143977
2021-10-14,0.143819
2021-10-15,0.143998
2021-10-16,0.143919
2021-10-17,0.143868
2021-10-18,0.14404
2021-10-19,0.144272
2021-10-20,0.143931
2021-10-21,0.14355
2021-10-22,0.143304
2021-10-23,0.143403
2021-10-24,0.143383
2021-10-25,0.143478
2021-10-26,0.143391
2021-10-27,0.143162
2021-10-28,0.143317
2021-10-29,0.142303
2021-10-30,0.142288
2021-10-31,0.14224
2021-11-01,0.142341
