date,rate
2021-10-01,1.00539
2021-10-02,1.004964
2021-10-03,1.004836
2021-10-04,1.007337
2021-10-05,1.006308
2021-10-06,1.000959
2021-10-07,1.002464
2021-10-08,1.002126
2021-10-09,1.001917
2021-10-10,1.00222
2021-10-11,1.003354
2021-10-12,1.000131
2021-10-13,0.99949
2021-10-14,1.003267
2021-10-15,1.002602
2021-10-16,1.003279
2021-10-17,1.003033
2021-10-18,1.003028
2021-10-19,0.997904
2021-10-20,1.000505
2021-10-21,1.000412
2021-10-22,0.998369
2021-10-23,0.99942
2021-10-24,0.999284
2021-10-25,0.996812
2021-10-26,0.994502
2021-10-27,0.996585
2021-10-28,1.003977
2021-10-29,0.994473
2021-10-30,0.995069
2021-10-31,0.994097
2021-11-01,0.994416
