date,rate
2021-10-01,3.403737
2021-10-02,3.404191
2021-10-03,3.403915
2021-10-04,3.408713
2021-10-05,3.407274
2021-10-06,3.415738
2021-10-07,3.41899
2021-10-08,3.418838
2021-10-09,3.419002
2021-10-10,3.418665
2021-10-11,3.411368
2021-10-12,3.41413
2021-10-13,3.410905
2021-10-14,3.411907
2021-10-15,3.40969
2021-10-16,3.411192
2021-10-17,3.411579
2021-10-18,3.424893
2021-10-19,3.427888
2021-10-20,3.432418
2021-10-21,3.445184
2021-10-22,3.450489
2021-10-23,3.452002
2021-10-24,3.451395
2021-10-25,3.459028
2021-10-26,3.454486
2021-10-27,3.455538
2021-10-28,3.45989
2021-10-29,3.449328
2021-10-30,3.447859
2021-10-31,3.44826
2021-11-01,3.448533
