date,rate
2021-10-01,3.195779
2021-10-02,3.188117
2021-10-03,3.187247
2021-10-04,3.210368
2021-10-05,3.210344
2021-10-06,3.205066
2021-10-07,3.19929
2021-10-08,3.225898
2021-10-09,3.220404
2021-10-10,3.220354
2021-10-11,3.232276
2021-10-12,3.222012
2021-10-13,3.211218
2021-10-14,3.208592
2021-10-15,3.187398
2021-10-16,3.170647
2021-10-17,3.171311
2021-10-18,3.172081
2021-10-19,3.168742
2021-10-20,3.156411
2021-10-21,3.171968
2021-10-22,3.160081
2021-10-23,3.159289
2021-10-24,3.159088
2021-10-25,3.154973
2021-10-26,3.148987
2021-10-27,3.152553
2021-10-28,3.194402
2021-10-29,3.190318
2021-10-30,3.19461
2021-10-31,3.194426
2021-11-01,3.208996
