date,rate
2021-10-01,4385.593682
2021-10-02,4394.956748
2021-10-03,4393.291243
2021-10-04,4397.5269
2021-10-05,4410.471953
2021-10-06,4363.118177
2021-10-07,4355.563384
2021-10-08,4357.185987
2021-10-09,4359.464974
2021-10-10,4357.032137
2021-10-11,4346.226252
2021-10-12,4318.735349
2021-10-13,4304.751605
2021-10-14,4350.554203
2021-10-15,4366.793635
2021-10-16,4364.163216
2021-10-17,4365.800017
2021-10-18,4371.865943
2021-10-19,4381.055213
2021-10-20,4391.367525
2021-10-21,4406.987257
2021-10-22,4402.099179
2021-10-23,4388.290999
2021-10-24,4387.767845
2021-10-25,4378.363511
2021-10-26,4374.860818
2021-10-27,4362.188389
2021-10-28,4399.821878
2021-10-29,4369.217126
2021-10-30,4346.011977
2021-10-31,4346.506909
2021-11-01,4348.91141
