date,rate
2021-10-01,0.854746
2021-10-02,0.856122
2021-10-03,0.855794
2021-10-04,0.854187
2021-10-05,0.851215
2021-10-06,0.851002
2021-10-07,0.848123
2021-10-08,0.849026
2021-10-09,0.85021
2021-10-10,0.849836
2021-10-11,0.849387
2021-10-12,0.848384
2021-10-13,0.848054
2021-10-14,0.84702
2021-10-15,0.842792
2021-10-16,0.845555
2021-10-17,0.845049
2021-10-18,0.845755
2021-10-19,0.842543
2021-10-20,0.842392
2021-10-21,0.842969
2021-10-22,0.846088
2021-10-23,0.846334
2021-10-24,0.846392
2021-10-25,0.843021
2021-10-26,0.84176
2021-10-27,0.844476
2021-10-28,0.846424
2021-10-29,0.843687
2021-10-30,0.844322
2021-10-31,0.844713
2021-11-01,0.84608
