date,rate
2021-10-01,356.935443
2021-10-02,357.756538
2021-10-03,357.481905
2021-10-04,356.865217
2021-10-05,357.554139
2021-10-06,359.053918
2021-10-07,358.299691
2021-10-08,360.894085
2021-10-09,360.195585
2021-10-10,359.892099
2021-10-11,359.274462
2021-10-12,360.355715
2021-10-13,360.221114
2021-10-14,358.973514
2021-10-15,359.360996
2021-10-16,360.05238
2021-10-17,359.963517
2021-10-18,361.95208
2021-10-19,362.486994
2021-10-20,362.270767
2021-10-21,363.663819
2021-10-22,364.621018
2021-10-23,364.477272
2021-10-24,364.586366
2021-10-25,365.975024
2021-10-26,364.876828
2021-10-27,363.285772
2021-10-28,361.653878
2021-10-29,360.243276
2021-10-30,359.949702
2021-10-31,360.073934
2021-11-01,359.987299
