date,rate
2021-10-01,0.349419
2021-10-02,0.34946
2021-10-03,0.349321
2021-10-04,0.350278
2021-10-05,0.35014
2021-10-06,0.348017
2021-10-07,0.348643
2021-10-08,0.349042
2021-10-09,0.349637
2021-10-10,0.349504
2021-10-11,0.349071
2021-10-12,0.348338
2021-10-13,0.349149
2021-10-14,0.349759
2021-10-15,0.349851
2021-10-16,0.350659
2021-10-17,0.350818
2021-10-18,0.350285
2021-10-19,0.350822
2021-10-20,0.351062
2021-10-21,0.350893
2021-10-22,0.350707
2021-10-23,0.350951
2021-10-24,0.351021
2021-10-25,0.350203
2021-10-26,0.349745
2021-10-27,0.349989
2021-10-28,0.352342
2021-10-29,0.348724
2021-10-30,0.349495
2021-10-31,0.349581
2021-11-01,0.348718
