date,rate
2021-10-01,5.287008
2021-10-02,5.287706
2021-10-03,5.277022
2021-10-04,5.298782
2021-10-05,5.282263
2021-10-06,5.252772
2021-10-07,5.267978
2021-10-08,5.272585
2021-10-09,5.267733
2021-10-10,5.264554
2021-10-11,5.27353
2021-10-12,5.26134
2021-10-13,5.278983
2021-10-14,5.285144
2021-10-15,5.282863
2021-10-16,5.278736
2021-10-17,5.277365
2021-10-18,5.292628
2021-10-19,5.30378
2021-10-20,5.303768
2021-10-21,5.285069
2021-10-22,5.281875
2021-10-23,5.284741
2021-10-24,5.285522
2021-10-25,5.271016
2021-10-26,5.261793
2021-10-27,5.275159
2021-10-28,5.30563
2021-10-29,5.253428
2021-10-30,5.253466
2021-10-31,5.253942
2021-11-01,5.301349
