date,rate
2021-10-01,1.671145
2021-10-02,1.670334
2021-10-03,1.669584
2021-10-04,1.669093
2021-10-05,1.665881
2021-10-06,1.670672
2021-10-07,1.66609
2021-10-08,1.669556
2021-10-09,1.67009
2021-10-10,1.669435
2021-10-11,1.663169
2021-10-12,1.662144
2021-10-13,1.663608
2021-10-14,1.649317
2021-10-15,1.639907
2021-10-16,1.640575
2021-10-17,1.641571
2021-10-18,1.639893
2021-10-19,1.623931
2021-10-20,1.61691
2021-10-21,1.623776
2021-10-22,1.628933
2021-10-23,1.627513
2021-10-24,1.62806
2021-10-25,1.62025
2021-10-26,1.620082
2021-10-27,1.616593
2021-10-28,1.621186
2021-10-29,1.613017
2021-10-30,1.612828
2021-10-31,1.612316
2021-11-01,1.61146
