date,rate
2021-10-01,0.445891
2021-10-02,0.445885
2021-10-03,0.445708
2021-10-04,0.446841
2021-10-05,0.446387
2021-10-06,0.443859
2021-10-07,0.444556
2021-10-08,0.444941
2021-10-09,0.44503
2021-10-10,0.444838
2021-10-11,0.444956
2021-10-12,0.443707
2021-10-13,0.444886
2021-10-14,0.445705
2021-10-15,0.445791
2021-10-16,0.445999
2021-10-17,0.446073
2021-10-18,0.446317
2021-10-19,0.447253
2021-10-20,0.44769
2021-10-21,0.447638
2021-10-22,0.447346
2021-10-23,0.447656
2021-10-24,0.44774
2021-10-25,0.446505
2021-10-26,0.445615
2021-10-27,0.445998
2021-10-28,0.449304
2021-10-29,0.444183
2021-10-30,0.444547
2021-10-31,0.444644
2021-11-01,0.444256
