date,rate
2021-10-01,17.248293
2021-10-02,17.253213
2021-10-03,17.245474
2021-10-04,17.45218
2021-10-05,17.389491
2021-10-06,17.403261
2021-10-07,17.188016
2021-10-08,17.292718
2021-10-09,17.299761
2021-10-10,17.274826
2021-10-11,17.311137
2021-10-12,17.263413
2021-10-13,17.140727
2021-10-14,17.143404
2021-10-15,16.98203
2021-10-16,16.934948
2021-10-17,16.936975
2021-10-18,17.029761
2021-10-19,16.890357
2021-10-20,16.811235
2021-10-21,16.98008
2021-10-22,17.227602
2021-10-23,17.260028
2021-10-24,17.260059
2021-10-25,17.080958
2021-10-26,17.224238
2021-10-27,17.444485
2021-10-28,17.661241
2021-10-29,17.617318
2021-10-30,17.613289
2021-10-31,17.617331
2021-11-01,17.66602
