date,rate
2021-10-01,4.982613
2021-10-02,4.974543
2021-10-03,4.974468
2021-10-04,4.996494
2021-10-05,5.008841
2021-10-06,4.981731
2021-10-07,5.006484
2021-10-08,5.005496
2021-10-09,4.999525
2021-10-10,4.999561
2021-10-11,5.003534
2021-10-12,4.995391
2021-10-13,5.010615
2021-10-14,5.025962
2021-10-15,5.052156
2021-10-16,5.037985
2021-10-17,5.041841
2021-10-18,5.040393
2021-10-19,5.07022
2021-10-20,5.076079
2021-10-21,5.072019
2021-10-22,5.050021
2021-10-23,5.052057
2021-10-24,5.052651
2021-10-25,5.058866
2021-10-26,5.056355
2021-10-27,5.044423
2021-10-28,5.070113
2021-10-29,5.028592
2021-10-30,5.028924
2021-10-31,5.02769
2021-11-01,5.015193
