date,rate
2021-10-01,134.012107
2021-10-02,133.701212
2021-10-03,133.561518
2021-10-04,134.554676
2021-10-05,134.882229
2021-10-06,134.174439
2021-10-07,134.875124
2021-10-08,134.729442
2021-10-09,134.692884
2021-10-10,134.55241
2021-10-11,134.686649
2021-10-12,134.800256
2021-10-13,135.23556
2021-10-14,135.684228
2021-10-15,136.440496
2021-10-16,135.955089
2021-10-17,136.049752
2021-10-18,136.254304
2021-10-19,137.093849
2021-10-20,137.30669
2021-10-21,137.237322
2021-10-22,136.67661
2021-10-23,136.766471
2021-10-24,136.793487
2021-10-25,137.051026
2021-10-26,137.002387
2021-10-27,136.825165
2021-10-28,137.629728
2021-10-29,136.542075
2021-10-30,136.508892
2021-10-31,136.468655
2021-11-01,136.11774
