date,rate
2021-10-01,1.717896
2021-10-02,1.713627
2021-10-03,1.714005
2021-10-04,1.710631
2021-10-05,1.713421
2021-10-06,1.71115
2021-10-07,1.710393
2021-10-08,1.700626
2021-10-09,1.697838
2021-10-10,1.697678
2021-10-11,1.697206
2021-10-12,1.692427
2021-10-13,1.698522
2021-10-14,1.692022
2021-10-15,1.704136
2021-10-16,1.698052
2021-10-17,1.698271
2021-10-18,1.696919
2021-10-19,1.705552
2021-10-20,1.703651
2021-10-21,1.704639
2021-10-22,1.702367
2021-10-23,1.700668
2021-10-24,1.701069
2021-10-25,1.704511
2021-10-26,1.705837
2021-10-27,1.694911
2021-10-28,1.705148
2021-10-29,1.697365
2021-10-30,1.696511
2021-10-31,1.695792
2021-11-01,1.692427
