date,rate
2021-10-01,8.747598
2021-10-02,8.732124
2021-10-03,8.73086
2021-10-04,8.771263
2021-10-05,8.793083
2021-10-06,8.750906
2021-10-07,8.794782
2021-10-08,8.783099
2021-10-09,8.77205
2021-10-10,8.772648
2021-10-11,8.789398
2021-10-12,8.771996
2021-10-13,8.769485
2021-10-14,8.813381
2021-10-15,8.851815
2021-10-16,8.828708
2021-10-17,8.83386
2021-10-18,8.824032
2021-10-19,8.812779
2021-10-20,8.837056
2021-10-21,8.83033
2021-10-22,8.779244
2021-10-23,8.782718
2021-10-24,8.783745
2021-10-25,8.796279
2021-10-26,8.788878
2021-10-27,8.779226
2021-10-28,8.823018
2021-10-29,8.769359
2021-10-30,8.767919
2021-10-31,8.75721
2021-11-01,8.743092
