date,rate
2021-10-01,20.17943
2021-10-02,20.152761
2021-10-03,20.15143
2021-10-04,20.431336
2021-10-05,20.429019
2021-10-06,20.450328
2021-10-07,20.265952
2021-10-08,20.367709
2021-10-09,20.347635
2021-10-10,20.327251
2021-10-11,20.38074
2021-10-12,20.348587
2021-10-13,20.211829
2021-10-14,20.239678
2021-10-15,20.149732
2021-10-16,20.028193
2021-10-17,20.042586
2021-10-18,20.135581
2021-10-19,20.046884
2021-10-20,19.95655
2021-10-21,20.143184
2021-10-22,20.36147
2021-10-23,20.393865
2021-10-24,20.392503
2021-10-25,20.261615
2021-10-26,20.462184
2021-10-27,20.657182
2021-10-28,20.865717
2021-10-29,20.881338
2021-10-30,20.860855
2021-10-31,20.855999
2021-11-01,20.87984
