date,rate
2021-10-01,1.452558
2021-10-02,1.452539
2021-10-03,1.452544
2021-10-04,1.447861
2021-10-05,1.450424
2021-10-06,1.454401
2021-10-07,1.44993
2021-10-08,1.450193
2021-10-09,1.447215
2021-10-10,1.44726
2021-10-11,1.45144
2021-10-12,1.451547
2021-10-13,1.44983
2021-10-14,1.44598
2021-10-15,1.446846
2021-10-16,1.446925
2021-10-17,1.447058
2021-10-18,1.444397
2021-10-19,1.442069
2021-10-20,1.439813
2021-10-21,1.434577
2021-10-22,1.435106
2021-10-23,1.434399
2021-10-24,1.434247
2021-10-25,1.437509
2021-10-26,1.442131
2021-10-27,1.443742
2021-10-28,1.45607
2021-10-29,1.449322
2021-10-30,1.449436
2021-10-31,1.449436
2021-11-01,1.448932
