date,rate
2021-10-01,103.161325
2021-10-02,103.141652
2021-10-03,103.17826
2021-10-04,103.57964
2021-10-05,104.458701
2021-10-06,104.772536
2021-10-07,104.407073
2021-10-08,105.813104
2021-10-09,105.921581
2021-10-10,105.907365
2021-10-11,106.005087
2021-10-12,106.028868
2021-10-13,104.966153
2021-10-14,105.035933
2021-10-15,105.823514
2021-10-16,105.906075
2021-10-17,105.917069
2021-10-18,105.293667
2021-10-19,104.446261
2021-10-20,104.2873
2021-10-21,105.08527
2021-10-22,104.74171
2021-10-23,104.95367
2021-10-24,104.924452
2021-10-25,103.920919
2021-10-26,103.708861
2021-10-27,103.611558
2021-10-28,103.44398
2021-10-29,104.290284
2021-10-30,104.584637
2021-10-31,104.584801
2021-11-01,104.551041
