date,rate
2021-10-01,0.828194
2021-10-02,0.828071
2021-10-03,0.827966
2021-10-04,0.827911
2021-10-05,0.828174
2021-10-06,0.828553
2021-10-07,0.828778
2021-10-08,0.827888
2021-10-09,0.827737
2021-10-10,0.827813
2021-10-11,0.829416
2021-10-12,0.828768
2021-10-13,0.826207
2021-10-14,0.827978
2021-10-15,0.827235
2021-10-16,0.827443
2021-10-17,0.827369
2021-10-18,0.826461
2021-10-19,0.820912
2021-10-20,0.822371
2021-10-21,0.822397
2021-10-22,0.821394
2021-10-23,0.821247
2021-10-24,0.821159
2021-10-25,0.821421
2021-10-26,0.820957
2021-10-27,0.821832
2021-10-28,0.821701
2021-10-29,0.823303
2021-10-30,0.823093
2021-10-31,0.82229
2021-11-01,0.822825
