date,rate
2021-10-01,0.58562
2021-10-02,0.585706
2021-10-03,0.584757
2021-10-04,0.585524
2021-10-05,0.584469
2021-10-06,0.584421
2021-10-07,0.585327
2021-10-08,0.585364
2021-10-09,0.58464
2021-10-10,0.584559
2021-10-11,0.58588
2021-10-12,0.585921
2021-10-13,0.586464
2021-10-14,0.586192
2021-10-15,0.585795
2021-10-16,0.585098
2021-10-17,0.584903
2021-10-18,0.586114
2021-10-19,0.586377
2021-10-20,0.58591
2021-10-21,0.583907
2021-10-22,0.584073
2021-10-23,0.583884
2021-10-24,0.583799
2021-10-25,0.583879
2021-10-26,0.583892
2021-10-27,0.584757
2021-10-28,0.583776
2021-10-29,0.584593
2021-10-30,0.584104
2021-10-31,0.58403
2021-11-01,0.589681
