date,rate
2021-10-01,0.547811
2021-10-02,0.547881
2021-10-03,0.547683
2021-10-04,0.546898
2021-10-05,0.54715
2021-10-06,0.55036
2021-10-07,0.549722
2021-10-08,0.549339
2021-10-09,0.549558
2021-10-10,0.549538
2021-10-11,0.549874
2021-10-12,0.551337
2021-10-13,0.549854
2021-10-14,0.549007
2021-10-15,0.548702
2021-10-16,0.548556
2021-10-17,0.548601
2021-10-18,0.547988
2021-10-19,0.547136
2021-10-20,0.54637
2021-10-21,0.546586
2021-10-22,0.547035
2021-10-23,0.546745
2021-10-24,0.546393
2021-10-25,0.548107
2021-10-26,0.549013
2021-10-27,0.548557
2021-10-28,0.544529
2021-10-29,0.550777
2021-10-30,0.55026
2021-10-31,0.550246
2021-11-01,0.550595
