date,rate
2021-10-01,0.481692
2021-10-02,0.481693
2021-10-03,0.481695
2021-10-04,0.481567
2021-10-05,0.481712
2021-10-06,0.481634
2021-10-07,0.481743
2021-10-08,0.48177
2021-10-09,0.481714
2021-10-10,0.481729
2021-10-11,0.482125
2021-10-12,0.481919
2021-10-13,0.482032
2021-10-14,0.482131
2021-10-15,0.482106
2021-10-16,0.482134
2021-10-17,0.482178
2021-10-18,0.482046
2021-10-19,0.482259
2021-10-20,0.482345
2021-10-21,0.482342
2021-10-22,0.482455
2021-10-23,0.482372
2021-10-24,0.482321
2021-10-25,0.48238
2021-10-26,0.482274
2021-10-27,0.482178
2021-10-28,0.482152
2021-10-29,0.482068
2021-10-30,0.482055
2021-10-31,0.482056
2021-11-01,0.481947
