date,rate
2021-10-01,54171101449.6946
2021-10-02,53944698438.48412
2021-10-03,55015432672.324936
2021-10-04,53673849076.56068
2021-10-05,53578733433.67078
2021-10-06,54033.245306
2021-10-07,53769.975152
2021-10-08,53688.834901
2021-10-09,54471.103888
2021-10-10,54699.303239
2021-10-11,53408.389687
2021-10-12,53482.940121
2021-10-13,53450.449663
2021-10-14,53695.891669
2021-10-15,53780.937786
2021-10-16,54257.501049
2021-10-17,54733.907725
2021-10-18,53278.462121
2021-10-19,53318.324797
2021-10-20,53618.083249
2021-10-21,53624.766094
2021-10-22,53915.930978
2021-10-23,55023.11365
2021-10-24,55256.141607
2021-10-25,54428.282344
2021-10-26,55123.571017
2021-10-27,55299.145482
2021-10-28,55789.611982
2021-10-29,56310.747309
2021-10-30,57512.646699
2021-10-31,57668.9538
2021-11-01,55852.583593
