date,rate
2021-10-01,1.910521
2021-10-02,1.911095
2021-10-03,1.911003
2021-10-04,1.928495
2021-10-05,1.924102
2021-10-06,1.936278
2021-10-07,1.909766
2021-10-08,1.919843
2021-10-09,1.920017
2021-10-10,1.91814
2021-10-11,1.923239
2021-10-12,1.922512
2021-10-13,1.904236
2021-10-14,1.901429
2021-10-15,1.883067
2021-10-16,1.87708
2021-10-17,1.877166
2021-10-18,1.885902
2021-10-19,1.867371
2021-10-20,1.857145
2021-10-21,1.876
2021-10-22,1.905038
2021-10-23,1.906971
2021-10-24,1.906417
2021-10-25,1.892086
2021-10-26,1.911343
2021-10-27,1.933739
2021-10-28,1.943257
2021-10-29,1.960426
2021-10-30,1.958324
2021-10-31,1.95835
2021-11-01,1.965033
