date,rate
2021-10-01,0.568014
2021-10-02,0.567844
2021-10-03,0.567844
2021-10-04,0.569525
2021-10-05,0.567801
2021-10-06,0.564611
2021-10-07,0.565002
2021-10-08,0.565383
2021-10-09,0.565874
2021-10-10,0.565874
2021-10-11,0.565634
2021-10-12,0.563734
2021-10-13,0.565175
2021-10-14,0.566932
2021-10-15,0.56716
2021-10-16,0.567708
2021-10-17,0.567708
2021-10-18,0.567889
2021-10-19,0.569149
2021-10-20,0.569766
2021-10-21,0.568279
2021-10-22,0.567762
2021-10-23,0.568521
2021-10-24,0.568521
2021-10-25,0.566672
2021-10-26,0.566065
2021-10-27,0.566779
2021-10-28,0.571093
2021-10-29,0.565867
2021-10-30,0.566299
2021-10-31,0.566299
2021-11-01,0.565872
