date,rate
2021-10-01,17.163162
2021-10-02,17.17314
2021-10-03,17.177898
2021-10-04,17.201709
2021-10-05,17.222953
2021-10-06,17.118935
2021-10-07,17.152904
2021-10-08,17.266879
2021-10-09,17.295253
2021-10-10,17.306189
2021-10-11,17.461775
2021-10-12,17.454498
2021-10-13,17.464705
2021-10-14,17.534431
2021-10-15,17.650659
2021-10-16,17.674721
2021-10-17,17.666001
2021-10-18,17.665228
2021-10-19,17.710188
2021-10-20,17.721659
2021-10-21,17.602618
2021-10-22,17.558852
2021-10-23,17.569111
2021-10-24,17.568043
2021-10-25,17.543865
2021-10-26,17.605656
2021-10-27,17.552269
2021-10-28,17.624722
2021-10-29,17.572028
2021-10-30,17.574141
2021-10-31,17.577527
2021-11-01,17.618886
