date,rate
2021-10-01,18.443352
2021-10-02,18.430176
2021-10-03,18.43163
2021-10-04,18.570946
2021-10-05,18.523526
2021-10-06,18.498232
2021-10-07,18.510238
2021-10-08,18.584688
2021-10-09,18.626793
2021-10-10,18.617287
2021-10-11,18.677905
2021-10-12,18.619715
2021-10-13,18.633405
2021-10-14,18.628568
2021-10-15,18.612161
2021-10-16,18.65356
2021-10-17,18.646492
2021-10-18,18.72104
2021-10-19,18.709287
2021-10-20,18.662406
2021-10-21,18.602508
2021-10-22,18.626611
2021-10-23,18.668201
2021-10-24,18.664833
2021-10-25,18.614823
2021-10-26,18.569923
2021-10-27,18.612056
2021-10-28,18.694537
2021-10-29,18.57599
2021-10-30,18.574913
2021-10-31,18.572813
2021-11-01,18.574717
