date,rate
2021-10-01,0.562987
2021-10-02,0.562819
2021-10-03,0.562819
2021-10-04,0.564485
2021-10-05,0.562776
2021-10-06,0.559614
2021-10-07,0.560002
2021-10-08,0.560379
2021-10-09,0.560866
2021-10-10,0.560866
2021-10-11,0.560628
2021-10-12,0.558745
2021-10-13,0.560174
2021-10-14,0.561915
2021-10-15,0.562141
2021-10-16,0.562684
2021-10-17,0.562684
2021-10-18,0.562863
2021-10-19,0.564112
2021-10-20,0.564724
2021-10-21,0.56325
2021-10-22,0.562737
2021-10-23,0.56349
2021-10-24,0.56349
2021-10-25,0.561657
2021-10-26,0.561055
2021-10-27,0.561764
2021-10-28,0.566039
2021-10-29,0.560859
2021-10-30,0.561288
2021-10-31,0.561288
2021-11-01,0.560864
