date,rate
2021-10-01,0.017442
2021-10-02,0.017394
2021-10-03,0.017395
2021-10-04,0.017696
2021-10-05,0.017742
2021-10-06,0.017738
2021-10-07,0.017766
2021-10-08,0.017687
2021-10-09,0.017707
2021-10-10,0.017712
2021-10-11,0.017765
2021-10-12,0.017721
2021-10-13,0.017836
2021-10-14,0.017777
2021-10-15,0.017575
2021-10-16,0.017595
2021-10-17,0.017603
2021-10-18,0.017716
2021-10-19,0.01782
2021-10-20,0.01784
2021-10-21,0.018074
2021-10-22,0.018262
2021-10-23,0.018053
2021-10-24,0.018049
2021-10-25,0.017767
2021-10-26,0.017738
2021-10-27,0.017832
2021-10-28,0.018137
2021-10-29,0.018044
2021-10-30,0.018109
2021-10-31,0.018104
2021-11-01,0.018096
