date,rate
2021-10-01,0.003021
2021-10-02,0.003016
2021-10-03,0.003018
2021-10-04,0.003012
2021-10-05,0.00301
2021-10-06,0.002984
2021-10-07,0.002994
2021-10-08,0.002973
2021-10-09,0.002981
2021-10-10,0.002983
2021-10-11,0.002985
2021-10-12,0.002979
2021-10-13,0.002974
2021-10-14,0.002981
2021-10-15,0.002982
2021-10-16,0.002974
2021-10-17,0.002975
2021-10-18,0.002961
2021-10-19,0.002961
2021-10-20,0.002956
2021-10-21,0.002937
2021-10-22,0.002924
2021-10-23,0.002926
2021-10-24,0.002926
2021-10-25,0.002916
2021-10-26,0.002923
2021-10-27,0.002932
2021-10-28,0.002948
2021-10-29,0.002939
2021-10-30,0.002941
2021-10-31,0.00294
2021-11-01,0.002941
