date,rate
2021-10-01,2.609285
2021-10-02,2.60276
2021-10-03,2.604641
2021-10-04,2.626645
2021-10-05,2.64035
2021-10-06,2.622713
2021-10-07,2.622583
2021-10-08,2.640931
2021-10-09,2.649604
2021-10-10,2.650252
2021-10-11,2.655784
2021-10-12,2.642106
2021-10-13,2.622942
2021-10-14,2.638108
2021-10-15,2.655677
2021-10-16,2.653727
2021-10-17,2.654854
2021-10-18,2.626882
2021-10-19,2.606206
2021-10-20,2.605866
2021-10-21,2.615464
2021-10-22,2.597761
2021-10-23,2.6063
2021-10-24,2.605558
2021-10-25,2.563438
2021-10-26,2.561362
2021-10-27,2.572883
2021-10-28,2.59958
2021-10-29,2.601581
2021-10-30,2.613256
2021-10-31,2.612924
2021-11-01,2.611019
