date,rate
2021-10-01,0.025293
2021-10-02,0.025235
2021-10-03,0.025244
2021-10-04,0.025359
2021-10-05,0.025277
2021-10-06,0.025032
2021-10-07,0.025119
2021-10-08,0.024958
2021-10-09,0.025015
2021-10-10,0.025024
2021-10-11,0.025053
2021-10-12,0.024919
2021-10-13,0.024988
2021-10-14,0.025116
2021-10-15,0.025095
2021-10-16,0.025057
2021-10-17,0.025065
2021-10-18,0.024948
2021-10-19,0.024953
2021-10-20,0.024987
2021-10-21,0.024889
2021-10-22,0.024802
2021-10-23,0.024833
2021-10-24,0.024833
2021-10-25,0.024667
2021-10-26,0.024698
2021-10-27,0.024832
2021-10-28,0.02513
2021-10-29,0.024946
2021-10-30,0.024987
2021-10-31,0.024984
2021-11-01,0.024974
