date,rate
2021-10-01,0.648848
2021-10-02,0.647589
2021-10-03,0.647829
2021-10-04,0.651267
2021-10-05,0.648428
2021-10-06,0.641896
2021-10-07,0.645167
2021-10-08,0.641204
2021-10-09,0.642162
2021-10-10,0.642426
2021-10-11,0.649019
2021-10-12,0.642011
2021-10-13,0.645689
2021-10-14,0.652247
2021-10-15,0.651799
2021-10-16,0.647103
2021-10-17,0.64737
2021-10-18,0.642847
2021-10-19,0.641468
2021-10-20,0.644361
2021-10-21,0.641874
2021-10-22,0.64257
2021-10-23,0.641544
2021-10-24,0.641471
2021-10-25,0.640911
2021-10-26,0.639992
2021-10-27,0.643283
2021-10-28,0.652654
2021-10-29,0.64458
2021-10-30,0.64804
2021-10-31,0.647957
2021-11-01,0.64673
