date,rate
2021-10-01,0.013856
2021-10-02,0.013826
2021-10-03,0.013826
2021-10-04,0.013869
2021-10-05,0.01383
2021-10-06,0.013777
2021-10-07,0.013808
2021-10-08,0.013711
2021-10-09,0.013747
2021-10-10,0.013752
2021-10-11,0.013776
2021-10-12,0.013739
2021-10-13,0.01374
2021-10-14,0.013789
2021-10-15,0.01377
2021-10-16,0.013745
2021-10-17,0.013751
2021-10-18,0.013671
2021-10-19,0.013652
2021-10-20,0.013652
2021-10-21,0.013604
2021-10-22,0.013567
2021-10-23,0.013577
2021-10-24,0.013568
2021-10-25,0.01352
2021-10-26,0.013559
2021-10-27,0.013622
2021-10-28,0.013684
2021-10-29,0.013739
2021-10-30,0.013749
2021-10-31,0.013747
2021-11-01,0.01375
