date,rate
2021-10-01,0.021532
2021-10-02,0.021624
2021-10-03,0.021611
2021-10-04,0.021517
2021-10-05,0.021644
2021-10-06,0.021816
2021-10-07,0.021802
2021-10-08,0.021929
2021-10-09,0.021879
2021-10-10,0.021866
2021-10-11,0.021851
2021-10-12,0.021969
2021-10-13,0.021904
2021-10-14,0.021958
2021-10-15,0.022028
2021-10-16,0.022011
2021-10-17,0.022028
2021-10-18,0.022069
2021-10-19,0.022094
2021-10-20,0.02206
2021-10-21,0.022103
2021-10-22,0.02214
2021-10-23,0.02208
2021-10-24,0.022095
2021-10-25,0.02226
2021-10-26,0.022237
2021-10-27,0.022077
2021-10-28,0.021821
2021-10-29,0.021989
2021-10-30,0.02196
2021-10-31,0.021938
2021-11-01,0.02186
