date,rate
2021-10-01,0.005189
2021-10-02,0.005197
2021-10-03,0.005197
2021-10-04,0.00522
2021-10-05,0.005238
2021-10-06,0.00525
2021-10-07,0.005266
2021-10-08,0.00528
2021-10-09,0.005287
2021-10-10,0.005283
2021-10-11,0.00531
2021-10-12,0.005309
2021-10-13,0.005299
2021-10-14,0.005323
2021-10-15,0.005328
2021-10-16,0.005323
2021-10-17,0.005327
2021-10-18,0.00533
2021-10-19,0.005324
2021-10-20,0.005306
2021-10-21,0.005292
2021-10-22,0.005295
2021-10-23,0.005291
2021-10-24,0.005293
2021-10-25,0.005301
2021-10-26,0.005294
2021-10-27,0.005288
2021-10-28,0.005273
2021-10-29,0.005288
2021-10-30,0.005286
2021-10-31,0.005279
2021-11-01,0.005262
