date,rate
2021-10-01,0.009066
2021-10-02,0.009087
2021-10-03,0.009085
2021-10-04,0.008984
2021-10-05,0.009008
2021-10-06,0.009029
2021-10-07,0.009067
2021-10-08,0.009077
2021-10-09,0.009083
2021-10-10,0.009082
2021-10-11,0.009123
2021-10-12,0.009127
2021-10-13,0.009087
2021-10-14,0.009152
2021-10-15,0.009164
2021-10-16,0.009141
2021-10-17,0.009152
2021-10-18,0.009147
2021-10-19,0.009133
2021-10-20,0.009133
2021-10-21,0.009117
2021-10-22,0.00912
2021-10-23,0.009107
2021-10-24,0.009113
2021-10-25,0.009124
2021-10-26,0.009137
2021-10-27,0.009116
2021-10-28,0.009039
2021-10-29,0.009157
2021-10-30,0.009077
2021-10-31,0.009067
2021-11-01,0.009106
