date,rate
2021-10-01,0.007763
2021-10-02,0.007785
2021-10-03,0.007786
2021-10-04,0.007773
2021-10-05,0.007829
2021-10-06,0.00781
2021-10-07,0.007844
2021-10-08,0.007886
2021-10-09,0.007891
2021-10-10,0.007895
2021-10-11,0.00798
2021-10-12,0.008
2021-10-13,0.007984
2021-10-14,0.008054
2021-10-15,0.008123
2021-10-16,0.008108
2021-10-17,0.008113
2021-10-18,0.008085
2021-10-19,0.008102
2021-10-20,0.008099
2021-10-21,0.008049
2021-10-22,0.008024
2021-10-23,0.008004
2021-10-24,0.008009
2021-10-25,0.008031
2021-10-26,0.008068
2021-10-27,0.008017
2021-10-28,0.007991
2021-10-29,0.008042
2021-10-30,0.008039
2021-10-31,0.008032
2021-11-01,0.008023
