date,rate
2021-10-01,0.011943
2021-10-02,0.011971
2021-10-03,0.011941
2021-10-04,0.011982
2021-10-05,0.011995
2021-10-06,0.011979
2021-10-07,0.012019
2021-10-08,0.011998
2021-10-09,0.012015
2021-10-10,0.011985
2021-10-11,0.012041
2021-10-12,0.011997
2021-10-13,0.01204
2021-10-14,0.012142
2021-10-15,0.012166
2021-10-16,0.012134
2021-10-17,0.012147
2021-10-18,0.012209
2021-10-19,0.012239
2021-10-20,0.012297
2021-10-21,0.012283
2021-10-22,0.012324
2021-10-23,0.012302
2021-10-24,0.012311
2021-10-25,0.012331
2021-10-26,0.012358
2021-10-27,0.012222
2021-10-28,0.012135
2021-10-29,0.012072
2021-10-30,0.01211
2021-10-31,0.012096
2021-11-01,0.012022
