date,rate
2021-10-01,29502180.006681
2021-10-02,29435880.416462
2021-10-03,30014302.133575
2021-10-04,29287191.868506
2021-10-05,29311877.150381
2021-10-06,29.508034
2021-10-07,29.446971
2021-10-08,29.384573
2021-10-09,29.811768
2021-10-10,29.930753
2021-10-11,29.238387
2021-10-12,29.278539
2021-10-13,29.255876
2021-10-14,29.613408
2021-10-15,29.729803
2021-10-16,29.925639
2021-10-17,30.221146
2021-10-18,29.334202
2021-10-19,29.394141
2021-10-20,29.555435
2021-10-21,29.500695
2021-10-22,29.605289
2021-10-23,30.169043
2021-10-24,30.317943
2021-10-25,29.886671
2021-10-26,30.273906
2021-10-27,30.315995
2021-10-28,30.593473
2021-10-29,30.88862
2021-10-30,31.558581
2021-10-31,31.608311
2021-11-01,30.49088
