date,rate
2021-10-01,1175.133294
2021-10-02,1177.488666
2021-10-03,1177.012925
2021-10-04,1173.131047
2021-10-05,1175.018985
2021-10-06,1166.618049
2021-10-07,1167.770046
2021-10-08,1164.712637
2021-10-09,1164.021745
2021-10-10,1163.955705
2021-10-11,1163.53091
2021-10-12,1158.053168
2021-10-13,1151.044063
2021-10-14,1164.018945
2021-10-15,1169.325561
2021-10-16,1167.896908
2021-10-17,1166.824289
2021-10-18,1170.109199
2021-10-19,1172.167598
2021-10-20,1173.621737
2021-10-21,1179.679079
2021-10-22,1179.106535
2021-10-23,1175.310293
2021-10-24,1174.95425
2021-10-25,1177.45238
2021-10-26,1179.499325
2021-10-27,1178.69061
2021-10-28,1189.515297
2021-10-29,1195.846152
2021-10-30,1188.684352
2021-10-31,1189.939458
2021-11-01,1195.678949
