date,rate
2021-10-01,23.050639
2021-10-02,23.037769
2021-10-03,23.029849
2021-10-04,23.095457
2021-10-05,23.052248
2021-10-06,23.103204
2021-10-07,23.201462
2021-10-08,23.229649
2021-10-09,23.240771
2021-10-10,23.230501
2021-10-11,23.371683
2021-10-12,23.349724
2021-10-13,23.303254
2021-10-14,23.282293
2021-10-15,23.276076
2021-10-16,23.301723
2021-10-17,23.266644
2021-10-18,23.398284
2021-10-19,23.372762
2021-10-20,23.285776
2021-10-21,23.306306
2021-10-22,23.3571
2021-10-23,23.392263
2021-10-24,23.3881
2021-10-25,23.436828
2021-10-26,23.418124
2021-10-27,23.513821
2021-10-28,23.626406
2021-10-29,23.712977
2021-10-30,23.696747
2021-10-31,23.721527
2021-11-01,23.822433
