date,rate
2021-10-01,13.267176
2021-10-02,13.255258
2021-10-03,13.369257
2021-10-04,13.200567
2021-10-05,13.215581
2021-10-06,13.14511
2021-10-07,13.314184
2021-10-08,13.215788
2021-10-09,13.321363
2021-10-10,13.294331
2021-10-11,13.245226
2021-10-12,13.179338
2021-10-13,13.262963
2021-10-14,13.295794
2021-10-15,13.392771
2021-10-16,13.389917
2021-10-17,13.451562
2021-10-18,13.31851
2021-10-19,13.340367
2021-10-20,13.279481
2021-10-21,13.271914
2021-10-22,13.317616
2021-10-23,13.421549
2021-10-24,13.435719
2021-10-25,13.408485
2021-10-26,13.429839
2021-10-27,13.645389
2021-10-28,13.628513
2021-10-29,13.641763
2021-10-30,13.722393
2021-10-31,13.740036
2021-11-01,13.667976
