date,rate
2021-10-01,2.681065
2021-10-02,2.678963
2021-10-03,2.677235
2021-10-04,2.658425
2021-10-05,2.636023
2021-10-06,2.653008
2021-10-07,2.653958
2021-10-08,2.642535
2021-10-09,2.630646
2021-10-10,2.629086
2021-10-11,2.649145
2021-10-12,2.644944
2021-10-13,2.635306
2021-10-14,2.622399
2021-10-15,2.615572
2021-10-16,2.612215
2021-10-17,2.608052
2021-10-18,2.617581
2021-10-19,2.599911
2021-10-20,2.598517
2021-10-21,2.601486
2021-10-22,2.607687
2021-10-23,2.607128
2021-10-24,2.605023
2021-10-25,2.607143
2021-10-26,2.613509
2021-10-27,2.634683
2021-10-28,2.631658
2021-10-29,2.672668
2021-10-30,2.669613
2021-10-31,2.673615
2021-11-01,2.688763
