date,rate
2021-10-01,0.119478
2021-10-02,0.119461
2021-10-03,0.11941
2021-10-04,0.119204
2021-10-05,0.118924
2021-10-06,0.11868
2021-10-07,0.11919
2021-10-08,0.118937
2021-10-09,0.118828
2021-10-10,0.118836
2021-10-11,0.119119
2021-10-12,0.118978
2021-10-13,0.118958
2021-10-14,0.119251
2021-10-15,0.119373
2021-10-16,0.119354
2021-10-17,0.11922
2021-10-18,0.119455
2021-10-19,0.119664
2021-10-20,0.119648
2021-10-21,0.119825
2021-10-22,0.119822
2021-10-23,0.119895
2021-10-24,0.119896
2021-10-25,0.120076
2021-10-26,0.120142
2021-10-27,0.120511
2021-10-28,0.121472
2021-10-29,0.121572
2021-10-30,0.121589
2021-10-31,0.12173
2021-11-01,0.122143
