date,rate
2021-10-01,1.131078
2021-10-02,1.130916
2021-10-03,1.130438
2021-10-04,1.128485
2021-10-05,1.125838
2021-10-06,1.123523
2021-10-07,1.128351
2021-10-08,1.125953
2021-10-09,1.124922
2021-10-10,1.124999
2021-10-11,1.127685
2021-10-12,1.12635
2021-10-13,1.126155
2021-10-14,1.128932
2021-10-15,1.130081
2021-10-16,1.129905
2021-10-17,1.128632
2021-10-18,1.130858
2021-10-19,1.132842
2021-10-20,1.132688
2021-10-21,1.134368
2021-10-22,1.134336
2021-10-23,1.135029
2021-10-24,1.135032
2021-10-25,1.136743
2021-10-26,1.137362
2021-10-27,1.140863
2021-10-28,1.149953
2021-10-29,1.150904
2021-10-30,1.151062
2021-10-31,1.152396
2021-11-01,1.156306
