date,rate
2021-10-01,0.072369
2021-10-02,0.072369
2021-10-03,0.072338
2021-10-04,0.072945
2021-10-05,0.073316
2021-10-06,0.073708
2021-10-07,0.07356
2021-10-08,0.073451
2021-10-09,0.073277
2021-10-10,0.073302
2021-10-11,0.073109
2021-10-12,0.073333
2021-10-13,0.07372
2021-10-14,0.073333
2021-10-15,0.072659
2021-10-16,0.072755
2021-10-17,0.072785
2021-10-18,0.073347
2021-10-19,0.073945
2021-10-20,0.074176
2021-10-21,0.075492
2021-10-22,0.076359
2021-10-23,0.075336
2021-10-24,0.075341
2021-10-25,0.074608
2021-10-26,0.074512
2021-10-27,0.074442
2021-10-28,0.075056
2021-10-29,0.075025
2021-10-30,0.075235
2021-10-31,0.075234
2021-11-01,0.075184
