date,rate
2021-10-01,0.294255
2021-10-02,0.294497
2021-10-03,0.294449
2021-10-04,0.292848
2021-10-05,0.292889
2021-10-06,0.294111
2021-10-07,0.293975
2021-10-08,0.292749
2021-10-09,0.292397
2021-10-10,0.292446
2021-10-11,0.290747
2021-10-12,0.291745
2021-10-13,0.291217
2021-10-14,0.291747
2021-10-15,0.291878
2021-10-16,0.291501
2021-10-17,0.291663
2021-10-18,0.291488
2021-10-19,0.291974
2021-10-20,0.293117
2021-10-21,0.294422
2021-10-22,0.294399
2021-10-23,0.293954
2021-10-24,0.293995
2021-10-25,0.295264
2021-10-26,0.295856
2021-10-27,0.295404
2021-10-28,0.294497
2021-10-29,0.296194
2021-10-30,0.296066
2021-10-31,0.296134
2021-11-01,0.296068
