date,rate
2021-10-01,0.104947
2021-10-02,0.10499
2021-10-03,0.104982
2021-10-04,0.10453
2021-10-05,0.104449
2021-10-06,0.104021
2021-10-07,0.104002
2021-10-08,0.10365
2021-10-09,0.103517
2021-10-10,0.103567
2021-10-11,0.103102
2021-10-12,0.103121
2021-10-13,0.103285
2021-10-14,0.103611
2021-10-15,0.10375
2021-10-16,0.103614
2021-10-17,0.103643
2021-10-18,0.103292
2021-10-19,0.10354
2021-10-20,0.103894
2021-10-21,0.103957
2021-10-22,0.103704
2021-10-23,0.103629
2021-10-24,0.103659
2021-10-25,0.103587
2021-10-26,0.103749
2021-10-27,0.103665
2021-10-28,0.103999
2021-10-29,0.103723
2021-10-30,0.103811
2021-10-31,0.103823
2021-11-01,0.103757
