date,rate
2021-10-01,1.747116
2021-10-02,1.74844
2021-10-03,1.748302
2021-10-04,1.721058
2021-10-05,1.719882
2021-10-06,1.719748
2021-10-07,1.721811
2021-10-08,1.719077
2021-10-09,1.717981
2021-10-10,1.718897
2021-10-11,1.718218
2021-10-12,1.7192
2021-10-13,1.714714
2021-10-14,1.719392
2021-10-15,1.719933
2021-10-16,1.717236
2021-10-17,1.717887
2021-10-18,1.71604
2021-10-19,1.715251
2021-10-20,1.721478
2021-10-21,1.722798
2021-10-22,1.722335
2021-10-23,1.721243
2021-10-24,1.721714
2021-10-25,1.721143
2021-10-26,1.726046
2021-10-27,1.723838
2021-10-28,1.7142
2021-10-29,1.731491
2021-10-30,1.717293
2021-10-31,1.717488
2021-11-01,1.730735
