date,rate
2021-10-01,1.49592
2021-10-02,1.49786
2021-10-03,1.498157
2021-10-04,1.488979
2021-10-05,1.494634
2021-10-06,1.487639
2021-10-07,1.489624
2021-10-08,1.493515
2021-10-09,1.492588
2021-10-10,1.494294
2021-10-11,1.502835
2021-10-12,1.506903
2021-10-13,1.506677
2021-10-14,1.513084
2021-10-15,1.524457
2021-10-16,1.523147
2021-10-17,1.522973
2021-10-18,1.516842
2021-10-19,1.521657
2021-10-20,1.526468
2021-10-21,1.521096
2021-10-22,1.515351
2021-10-23,1.512858
2021-10-24,1.513039
2021-10-25,1.515016
2021-10-26,1.524029
2021-10-27,1.515967
2021-10-28,1.515509
2021-10-29,1.520621
2021-10-30,1.520892
2021-10-31,1.521357
2021-11-01,1.52478
