date,rate
2021-10-01,5.751019
2021-10-02,5.748062
2021-10-03,5.748108
2021-10-04,5.712612
2021-10-05,5.706299
2021-10-06,5.678635
2021-10-07,5.686811
2021-10-08,5.663557
2021-10-09,5.65227
2021-10-10,5.654295
2021-10-11,5.632837
2021-10-12,5.637652
2021-10-13,5.656239
2021-10-14,5.673964
2021-10-15,5.680444
2021-10-16,5.671293
2021-10-17,5.672995
2021-10-18,5.653015
2021-10-19,5.673536
2021-10-20,5.698729
2021-10-21,5.69735
2021-10-22,5.670615
2021-10-23,5.666764
2021-10-24,5.666178
2021-10-25,5.668998
2021-10-26,5.681307
2021-10-27,5.687797
2021-10-28,5.718094
2021-10-29,5.700638
2021-10-30,5.702561
2021-10-31,5.703202
2021-11-01,5.709119
