date,rate
2021-10-01,0.374954
2021-10-02,0.374517
2021-10-03,0.374933
2021-10-04,0.375426
2021-10-05,0.374774
2021-10-06,0.374476
2021-10-07,0.374059
2021-10-08,0.374029
2021-10-09,0.37388
2021-10-10,0.373974
2021-10-11,0.371624
2021-10-12,0.373047
2021-10-13,0.372927
2021-10-14,0.373764
2021-10-15,0.37335
2021-10-16,0.373007
2021-10-17,0.373224
2021-10-18,0.371804
2021-10-19,0.370745
2021-10-20,0.372664
2021-10-21,0.372598
2021-10-22,0.372251
2021-10-23,0.37132
2021-10-24,0.371413
2021-10-25,0.371443
2021-10-26,0.37105
2021-10-27,0.370944
2021-10-28,0.371603
2021-10-29,0.371312
2021-10-30,0.371912
2021-10-31,0.37181
2021-11-01,0.371425
