date,rate
2021-10-01,0.028102
2021-10-02,0.02814
2021-10-03,0.028097
2021-10-04,0.028191
2021-10-05,0.028218
2021-10-06,0.028431
2021-10-07,0.02831
2021-10-08,0.028453
2021-10-09,0.028459
2021-10-10,0.02848
2021-10-11,0.028447
2021-10-12,0.028489
2021-10-13,0.028257
2021-10-14,0.028182
2021-10-15,0.028141
2021-10-16,0.028195
2021-10-17,0.028135
2021-10-18,0.028194
2021-10-19,0.027971
2021-10-20,0.027968
2021-10-21,0.028011
2021-10-22,0.028022
2021-10-23,0.028031
2021-10-24,0.028029
2021-10-25,0.027788
2021-10-26,0.027789
2021-10-27,0.027877
2021-10-28,0.027775
2021-10-29,0.027963
2021-10-30,0.02796
2021-10-31,0.027957
2021-11-01,0.028025
