date,rate
2021-10-01,9.9e-05
2021-10-02,0.0001
2021-10-03,9.9e-05
2021-10-04,9.9e-05
2021-10-05,9.9e-05
2021-10-06,0.0001
2021-10-07,0.0001
2021-10-08,9.9e-05
2021-10-09,9.9e-05
2021-10-10,9.9e-05
2021-10-11,9.9e-05
2021-10-12,9.9e-05
2021-10-13,9.9e-05
2021-10-14,9.9e-05
2021-10-15,9.9e-05
2021-10-16,9.9e-05
2021-10-17,9.9e-05
2021-10-18,9.9e-05
2021-10-19,9.9e-05
2021-10-20,9.9e-05
2021-10-21,9.9e-05
2021-10-22,9.9e-05
2021-10-23,9.9e-05
2021-10-24,9.9e-05
2021-10-25,9.9e-05
2021-10-26,9.9e-05
2021-10-27,9.9e-05
2021-10-28,9.9e-05
2021-10-29,9.9e-05
2021-10-30,9.9e-05
2021-10-31,9.9e-05
2021-11-01,9.9e-05
2021-11-02,0.000099
2021-11-03,0.000099
