date,rate
2021-10-01,0.002837
2021-10-02,0.002836
2021-10-03,0.002837
2021-10-04,0.00285
2021-10-05,0.002851
2021-10-06,0.002863
2021-10-07,0.002863
2021-10-08,0.002871
2021-10-09,0.002877
2021-10-10,0.002875
2021-10-11,0.002886
2021-10-12,0.002886
2021-10-13,0.002881
2021-10-14,0.002871
2021-10-15,0.002868
2021-10-16,0.002871
2021-10-17,0.00287
2021-10-18,0.002881
2021-10-19,0.002872
2021-10-20,0.002862
2021-10-21,0.002861
2021-10-22,0.002867
2021-10-23,0.00287
2021-10-24,0.002869
2021-10-25,0.002871
2021-10-26,0.002867
2021-10-27,0.00287
2021-10-28,0.002861
2021-10-29,0.002869
2021-10-30,0.002866
2021-10-31,0.002866
2021-11-01,0.002869
