date,rate
2021-10-01,0.010614
2021-10-02,0.010625
2021-10-03,0.010631
2021-10-04,0.01071
2021-10-05,0.010694
2021-10-06,0.010707
2021-10-07,0.010598
2021-10-08,0.0106
2021-10-09,0.010591
2021-10-10,0.0106
2021-10-11,0.010471
2021-10-12,0.010469
2021-10-13,0.010505
2021-10-14,0.010442
2021-10-15,0.010458
2021-10-16,0.01046
2021-10-17,0.01046
2021-10-18,0.010434
2021-10-19,0.010377
2021-10-20,0.010333
2021-10-21,0.010361
2021-10-22,0.010378
2021-10-23,0.010376
2021-10-24,0.010376
2021-10-25,0.010329
2021-10-26,0.010312
2021-10-27,0.01029
2021-10-28,0.010336
2021-10-29,0.010248
2021-10-30,0.010334
2021-10-31,0.010327
2021-11-01,0.010281
