date,rate
2021-10-01,0.010456
2021-10-02,0.010473
2021-10-03,0.010475
2021-10-04,0.010586
2021-10-05,0.010582
2021-10-06,0.010567
2021-10-07,0.010535
2021-10-08,0.010494
2021-10-09,0.010491
2021-10-10,0.010491
2021-10-11,0.010443
2021-10-12,0.010455
2021-10-13,0.010472
2021-10-14,0.010448
2021-10-15,0.010458
2021-10-16,0.01046
2021-10-17,0.01046
2021-10-18,0.010439
2021-10-19,0.010441
2021-10-20,0.010429
2021-10-21,0.010449
2021-10-22,0.010452
2021-10-23,0.010442
2021-10-24,0.010442
2021-10-25,0.010427
2021-10-26,0.010421
2021-10-27,0.010425
2021-10-28,0.010482
2021-10-29,0.010387
2021-10-30,0.010481
2021-10-31,0.010481
2021-11-01,0.010404
