date,rate
2021-10-01,0.049482
2021-10-02,0.049478
2021-10-03,0.049478
2021-10-04,0.049918
2021-10-05,0.04998
2021-10-06,0.050068
2021-10-07,0.049938
2021-10-08,0.049811
2021-10-09,0.04978
2021-10-10,0.049767
2021-10-11,0.049603
2021-10-12,0.049705
2021-10-13,0.049791
2021-10-14,0.049732
2021-10-15,0.049771
2021-10-16,0.049763
2021-10-17,0.049766
2021-10-18,0.049596
2021-10-19,0.049658
2021-10-20,0.049607
2021-10-21,0.049605
2021-10-22,0.049538
2021-10-23,0.049473
2021-10-24,0.049475
2021-10-25,0.049595
2021-10-26,0.049619
2021-10-27,0.049591
2021-10-28,0.049654
2021-10-29,0.049593
2021-10-30,0.050003
2021-10-31,0.050003
2021-11-01,0.049605
